##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;;;;x
PROV1710;Carnarvon;Carnarvon;Carnarvon;Carnarvon;Carnarvon;Carnarvon;;;;;X
PROV1711;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;;;;;X
PROV1712;Perth;Perth;Perth;Perth;Perth;Perth;;;;;X
PROV1713;Esperance;Esperance;Esperance;Esperance;Esperance;Esperance;;;;;X
PROV1714;Laverton;Laverton;Laverton;Laverton;Laverton;Laverton;;;;;X
PROV1715;Gibson Desert;Gibson Desert;Gibson Desert;Desierto de Gibson;Gibsonwüste;Gibson Desert;;;;;X
PROV1716;Penong;Penong;Penong;Penong;Penong;Penong;;;;;X
PROV1717;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;;;;;X
PROV1718;Port Augusta;Port Augusta;Port Augusta;Port Augusta;Port Augusta;Port Augusta;;;;;X
PROV1719;Birdsville;Birdsville;Birdsville;Birdsville;Birdsville;Birdsville;;;;;X
PROV1720;Quilpie;Quilpie;Quilpie;Quilpie;Quilpie;Quilpie;;;;;X
PROV1721;Mitchell;Mitchell;Mitchell;Mitchell;Mitchell;Mitchell;;;;;X
PROV1722;Brisbane;Brisbane;Brisbane;Brisbane;Brisbane;Brisbane;;;;;X
PROV1723;Coff's Harbour;Coff's Harbour;Coff's Harbour;Coffs Harbour;Coffs Harbour;Coff's Harbour;;;;;X
PROV1724;Newcastle;Newcastle;Newcastle;Newcastle;Newcastle;Newcastle;;;;;X
PROV1725;Wentworth;Wentworth;Wentworth;Wentworth;Wentworth;Wentworth;;;;;X
PROV1726;Cobar;Cobar;Cobar;Cobar;Cobar;Cobar;;;;;X
PROV1727;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;;;;;X
PROV1728;Canberra;Canberra;Canberra;Canberra;Canberra;Canberra;;;;;X
PROV1729;Tasmania;Tasmania;Tasmania;Tasmania;Tasmanien;Tasmania;;;;;X
PROV1730;Melbourne;Melbourne;Melbourne;Melbourne;Melbourne;Melbourne;;;;;X
PROV1731;Hay;Hay;Hay;Hay;Hay;Hay;;;;;X
PROV1732;Mount Gambier;Mount Gambier;Mount Gambier;Mount Gambier;Mount Gambier;Mount Gambier;;;;;X
PROV1733;Adelaide;Adelaide;Adelaide;Adelaida;Adelaide;Adelaide;;;;;X
PROV1734;Broken Hill;Broken Hill;Broken Hill;Broken Hill;Broken Hill;Broken Hill;;;;;X
PROV1735;Palawan;Palawan;Palawan;Palawan;Palawan;Palawan;;;;;X
PROV1736;Mindoro;Mindoro;Mindoro;Mindoro;Mindoro;Mindoro;;;;;X
PROV1737;Manila;Manila;Manila;Manila;Manila;Manila;;;;;X
PROV1738;Bataan;Bataan;Bataan;Bataan;Bataan;Bataan;;;;;X
PROV1739;Clark Field;Clark Field;Clark Field;Clark Field;Clark Field;Clark Field;;;;;X
PROV1740;Lingayen Gulf;Lingayen Gulf;Lingayen Gulf;Golfo de Lingayen;Golf von Lingayen;Lingayen Gulf;;;;;X
PROV1741;Aparri;Aparri;Aparri;Aparri;Aparri;Aparri;;;;;X
PROV1742;Lamon Bay;Lamon Bay;Lamon Bay;Bahía de Lamon;Lamon-Bucht;Lamon Bay;;;;;X
PROV1743;Legaspi;Legaspi;Legaspi;Legaspi;Legaspi;Legaspi;;;;;X
PROV1744;Samar;Samar;Samar;Samar;Samar;Samar;;;;;X
PROV1745;Leyte;Leyte;Leyte;Leyte;Leyte;Leyte;;;;;X
PROV1746;Panay;Panay;Panay;Panay;Panay;Panay;;;;;X
PROV1747;Negros;Negros;Negros;Negros;Negros;Negros;;;;;X
PROV1748;Zamboanga;Zamboanga;Zamboanga;Zamboanga;Zamboanga;Zamboanga;;;;;X
PROV1749;Cagayan;Cagayan;Cagayan;Cagayán;Cagayan;Cagayan;;;;;X
PROV1750;Davao;Davao;Davao;Davao;Davao;Davao;;;;;X
PROV1751;Tahiti;Tahiti;Tahiti;Tahití;Tahiti;Tahiti;;;;;X
PROV1752;Fiji;Fiji;Fiji;Islas Fiji;Viti Levu;Fiji;;;;;X
PROV1753;Vanua Levu;Vanua Levu;Vanua Levu;Vanua Levu;Vanua Levu;Vanua Levu;;;;;X
PROV1754;Lau Group;Lau Group;Lau Group;Islas Lau;Lau-Gruppe;Lau Group;;;;;X
PROV1755;Taveuni;Taveuni;Taveuni;Taveuni;Taveuni;Taveuni;;;;;X
PROV1756;Samoa;Samoa;Samoa;Samoa;Samoa-Inseln;Samoa;;;;;X
PROV1757;Tamana;Tamana;Tamana;Tamana;Tamana;Tamana;;;;;X
PROV1758;Arorae;Arorae;Arorae;Arorae;Arorae;Arorae;;;;;X
PROV1759;Tabiteuea;Tabiteuea;Tabiteuea;Tabiteuea;Tabiteuea;Tabiteuea;;;;;X
PROV1760;Nonouti;Nonouti;Nonouti;Nonouti;Nonouti;Nonouti;;;;;X
PROV1761;Apamama;Apamama;Apamama;Apamamba;Apamama;Apamama;;;;;X
PROV1762;Phoenix Island;Phoenix Island;Phoenix Island;Islas Phoenix;Phoenix-Inseln;Phoenix Island;;;;;X
PROV1763;Christmas Island;Christmas Island;Christmas Island;Isla Christmas;Christmas-Insel;Christmas Island;;;;;X
PROV1764;Jarvis Island;Jarvis Island;Jarvis Island;Isla Jarvis;Jarvisinsel;Jarvis Island;;;;;X
PROV1765;Palmyra;Palmyra;Palmyra;Palmira;Palmyra-Atoll;Palmyra;;;;;X
PROV1766;Johnson Island;Johnson Island;Johnson Island;Isla de Johnson;Johnston-Atoll;Johnson Island;;;;;X
PROV1767;Makin;Makin;Makin;Makin;Makin;Makin;;;;;X
PROV1768;Abaiang;Abaiang;Abaiang;Abaiang;Abaiang;Abaiang;;;;;X
PROV1769;Tarawa;Tarawa;Tarawa;Tarawa;Tarawa;Tarawa;;;;;X
PROV1770;Maiana;Maiana;Maiana;Maiana;Maiana;Maiana;;;;;X
PROV1771;Mezen;Mezen;Mezen;Mezen;Mezen;Mezen;;;;;X
PROV1772;Ukhta;Ukhta;Ukhta;Ujta;Uchta;Ukhta;;;;;X
PROV1773;Syktyvkar;Syktyvkar;Syktyvkar;Siktivkar;Syktywkar;Syktyvkar;;;;;X
PROV1774;Kotelnich;Kotelnich;Kotelnich;Kotel'nich;Kotelnich;Kotelnich;;;;;X
PROV1775;Yoskar Ola;Yoskar Ola;Yoskar Ola;Yoskar-Ola;Joschkar-Ola;Yoskar Ola;;;;;X
PROV1776;Cheboksary;Cheboksary;Cheboksary;Cheboksari;Tscheboksary;Cheboksary;;;;;X
PROV1777;Saransk;Saransk;Saransk;Saransk;Saransk;Saransk;;;;;X
PROV1778;Ulyanovsk;Ulyanovsk;Ulyanovsk;Ul’yanovsk;Uljanowsk;Ulyanovsk;;;;;X
PROV1779;;;;;;;;;;;X
PROV1780;Kazan;Kazan;Kazan;Kazán;Kasan;Kazan;;;;;X
PROV1781;Melekess;Melekess;Melekess;Melekes;Melekess;Melekess;;;;;X
PROV1782;Izhevsk;Izhevsk;Izhevsk;Ízhevsk;Ischewsk;Izhevsk;;;;;X
PROV1783;Kirov;Kirov;Kirov;Kírov;Kirow;Kirov;;;;;X
PROV1784;Bonin Islands;Bonin Islands;Bonin Islands;Islas Bonin;Bonininseln;Bonin Islands;;;;;X
PROV1785;Marcus Island;Marcus Island;Marcus Island;Isla Marcus;Marcusinsel;Marcus Island;;;;;X
PROV1786;Wake Island;Wake Island;Wake Island;Isla Wake;Wake-Atoll;Wake Island;;;;;X
PROV1787;Rasht;Rasht;Rasht;Rasht;Rescht;Rasht;;;;;X
PROV1788;Hamadan;Hamadan;Hamadan;Hamadan;Hamadan;Hamadan;;;;;X
PROV1789;Bakhtaran;Bakhtaran;Bakhtaran;Bajtaran;Kermanschah;Bakhtaran;;;;;X
PROV1790;Hilla;Hilla;Hilla;Hilla;Hilla;Hilla;;;;;X
PROV1791;Karbala;Karbala;Karbala;Karbala;Kerbela;Karbala;;;;;X
PROV1792;Damascus;Damascus;Damascus;Damasco;Damaskus;Damascus;;;;;X
PROV1793;Tripoli;Tripoli;Tripoli;Trípoli;Tripoli;Tripoli;;;;;X
PROV1794;Beirut;Beirut;Beirut;Beirut;Beirut;Beirut;;;;;X
PROV1795;Golan;Golan;Golan;Golán;Golan;Golan;;;;;X
PROV1796;Amman;Amman;Amman;Ammán;Amman;Amman;;;;;X
PROV1797;Jerusalem;Jerusalem;Jerusalem;Jerusalén;Jerusalem;Jerusalem;;;;;X
PROV1798;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;;;;;X
PROV1799;Gaza;Gaza;Gaza;Gaza;Gaza;Gaza;;;;;X
PROV1800;el-Arish;el-Arish;el-Arish;Al Arish;El-Arisch;el-Arish;;;;;X
PROV1801;Sharm el-Sheikh;Sharm el-Sheikh;Sharm el-Sheikh;Sharm al-Sheikh;Scharm El-Scheich;Sharm el-Sheikh;;;;;X
PROV1802;Akaba;Akaba;Akaba;Ákaba;Akaba;Akaba;;;;;X
PROV1803;Bayir;Bayir;Bayir;Bayir;Bayir;Bayir;;;;;X
PROV1804;Medina;Medina;Medina;Medina;Medina;Medina;;;;;X
PROV1805;Jawf;Jawf;Jawf;Jawf;Djof;Jawf;;;;;X
PROV1806;Najaf;Najaf;Najaf;Najaf;Nadschaf;Najaf;;;;;X
PROV1807;Riyadh;Riyadh;Riyadh;Riad;Riad;Riyadh;;;;;X
PROV1808;Jiddah;Jiddah;Jiddah;Jiddah;Jiddah;Jiddah;;;;;X
PROV1809;Abha;Abha;Abha;Abha;Abha;Abha;;;;;X
PROV1810;;;;;;;;;;;X
PROV1811;;;;;;;;;;;X
PROV1812;Sanaa;Sanaa;Sanaa;Saná;Sanaa;Sanaa;;;;;X
PROV1813;Aden;Aden;Aden;Adén;Aden;Aden;;;;;X
PROV1814;Mukalla;Mukalla;Mukalla;Mukalla;Mukalla;Mukalla;;;;;X
PROV1815;Socotra;Socotra;Socotra;Socotra;Sokotra;Socotra;;;;;X
PROV1816;The Seychelles;The Seychelles;The Seychelles;Las Seychelles;Seychellen;The Seychelles;;;;;X
PROV1817;Diego Garcia Island;Diego Garcia Island;Diego Garcia Island;Isla de Diego García;Diego Garcia;Diego Garcia Island;;;;;X
PROV1818;Rub al Khali;Rub al Khali;Rub al Khali;Rub al-Jali;Rub al-Chali;Rub al Khali;;;;;X
PROV1819;Mascate;Mascate;Mascate;Mascate;Mascate;Mascate;;;;;X
PROV1820;Doha;Doha;Doha;Doha;Doha;Doha;;;;;X
PROV1821;Dammam;Dammam;Dammam;Dammam;Dammam;Dammam;;;;;X
PROV1822;Kuweit City;Kuweit City;Kuweit City;Kuwait (ciudad);Kuwait;Kuweit City;;;;;X
PROV1823;Basrah;Basrah;Basrah;Basora;Basra;Basrah;;;;;X
PROV1824;Nasiriyah;Nasiriyah;Nasiriyah;Nasiriyah;Nasiriyya;Nasiriyah;;;;;X
PROV1825;Abadan;Abadan;Abadan;Âbâdân;Abadan;Abadan;;;;;X
PROV1826;Esfahan;Esfahan;Esfahan;Isfahan;Isfahan;Esfahan;;;;;X
PROV1827;Naberezhnye Chelny;Naberezhnye Chelny;Naberezhnye Chelny;Náberezhnie Chelni;Nabereschnyje Tschelny;Naberezhnye Chelny;;;;;X
PROV1828;Kuybyshev;Kuybyshev;Kuybyshev;Kuybyshev;Kuibyschew;Kuybyshev;;;;;X
PROV1829;Engels;Engels;Engels;Engels;Engels;Engels;;;;;X
PROV1830;Syzran;Syzran;Syzran;Sizran;Sysran;Syzran;;;;;X
PROV1831;Nikolayevka;Nikolayevka;Nikolayevka;Nikolaievka;Nikolajewka;Nikolayevka;;;;;X
PROV1832;Saratov;Saratov;Saratov;Sarátov;Saratow;Saratov;;;;;X
PROV1833;Enotaevka;Enotaevka;Enotaevka;Enotaevka;Enotajewka;Enotaevka;;;;;X
PROV1834;Krasnya Sloboda;Krasnya Sloboda;Krasnya Sloboda;Krasnia Sloboda;Krasnaja Sloboda;Krasnya Sloboda;;;;;X
PROV1835;Nikolayevsk;Nikolayevsk;Nikolayevsk;Nikolaievsk;Nikolajewsk;Nikolayevsk;;;;;X
PROV1836;Elton;Elton;Elton;Elton;Elton;Elton;;;;;X
PROV1837;Elista;Elista;Elista;Elista;Elista;Elista;;;;;X
PROV1838;Astrakhan;Astrakhan;Astrakhan;Astracán;Astrachan;Astrakhan;;;;;X
PROV1839;Novouzensk;Novouzensk;Novouzensk;Novouzensk;Nowousensk;Novouzensk;;;;;X
PROV1840;Kotlas;Kotlas;Kotlas;Kotlas;Kotlas;Kotlas;;;;;X
PROV1841;Velikij Ustyug;Velikij Ustyug;Velikij Ustyug;Velikii Ustiug;Velikij Ustjug;Velikij Ustyug;;;;;X
PROV1842;Bashanta;Bashanta;Bashanta;Bashanta;Baschanta;Bashanta;;;;;X
PROV1843;Armavil;Armavil;Armavil;Armavir;Armawil;Armavil;;;;;X
PROV1844;Maikop;Maikop;Maikop;Maikop;Maikop;Maikop;;;;;X
PROV1845;Tuapse;Tuapse;Tuapse;Tuapse;Tuapse;Tuapse;;;;;X
PROV1846;Voroshilovsk;Voroshilovsk;Voroshilovsk;Voroshilovsk;Woroschilowsk;Voroshilovsk;;;;;X
PROV1847;Grozny;Grozny;Grozny;Grozni;Grozny;Grozny;;;;;X
PROV1848;Batum;Batum;Batum;Batum;Batum;Batum;;;;;X
PROV1849;Nalchik;Nalchik;Nalchik;Nalchik;Nalchik;Nalchik;;;;;X
PROV1850;Tblisi;Tblisi;Tblisi;Tbilisi;Tiflis;Tblisi;;;;;X
PROV1851;Kars;Kars;Kars;Kars;Kars;Kars;;;;;X
PROV1852;Erzurum;Erzurum;Erzurum;Erzurum;Erzurum;Erzurum;;;;;X
PROV1853;Elazig;Elazig;Elazig;Elazig;Elazig;Elazig;;;;;X
PROV1854;Batman;Batman;Batman;Batman;Batman;Batman;;;;;X
PROV1855;Van;Van;Van;Van;Van;Van;;;;;X
PROV1856;Yerevan;Yerevan;Yerevan;Ereván;Jerewan;Yerevan;;;;;X
PROV1857;Makhachkala;Makhachkala;Makhachkala;Majachkalá;Machatschkala;Makhachkala;;;;;X
PROV1858;Kirovabad;Kirovabad;Kirovabad;Kirovabad;Kirowabad;Kirovabad;;;;;X
PROV1859;Tabriz;Tabriz;Tabriz;Tabriz;Tabris;Tabriz;;;;;X
PROV1860;Kirkuk;Kirkuk;Kirkuk;Kirkuk;Kirkuk;Kirkuk;;;;;X
PROV1861;Dair az Zawr;Dair az Zawr;Dair az Zawr;Dayr az Zawr;Dair az-Zaur;Dair az Zawr;;;;;X
PROV1862;Aleppo;Aleppo;Aleppo;Alepo;Aleppo;Aleppo;;;;;X
PROV1863;Hims;Hims;Hims;Homs;Hims;Hims;;;;;X
PROV1864;Mosul;Mosul;Mosul;Mosul;Mosul;Mosul;;;;;X
PROV1865;Samarra;Samarra;Samarra;Samarra';Samarra;Samarra;;;;;X
PROV1866;Baghdad;Baghdad;Baghdad;Bagdad;Bagdad;Baghdad;;;;;X
PROV1867;The Azores;The Azores;The Azores;Islas Azores;Azoren;The Azores;;;;;X
PROV1868;Auckland;Auckland;Auckland;Auckland;Auckland;Auckland;;;;;X
PROV1869;Napier;Napier;Napier;Napier;Napier;Napier;;;;;X
PROV1870;New Plymouth;New Plymouth;New Plymouth;New Plymouth;New Plymouth;New Plymouth;;;;;X
PROV1871;Wellington;Wellington;Wellington;Wellington;Wellington;Wellington;;;;;X
PROV1872;Christchurch;Christchurch;Christchurch;Christchurch;Christchurch;Christchurch;;;;;X
PROV1873;Dunedin;Dunedin;Dunedin;Dunedin;Dunedin;Dunedin;;;;;X
PROV1874;Polotsk;Polotsk;Polotsk;Polotsk;Polozk;Polotsk;;;;;X
PROV1875;;;;;;;;;;;X
PROV1876;;;;;;;;;;;X
PROV1877;Fort Hertz;Fort Hertz;Fort Hertz;Fuerte Hertz;Fort Hertz;Fort Hertz;;;;;X
PROV1878;Ledo;Ledo;Ledo;Ledo;Ledo;Ledo;;;;;X
PROV1879;Far East Aleutian Plateau;Far East Aleutian Plateau;Far East Aleutian Plateau;Extremo oriental de la meseta de las Aleutianas;Östl. Aleutenplateau;Far East Aleutian Plateau;;;;;X
PROV1880;Norten Sound;Norten Sound;Norten Sound;Norton Sound;Nortonsund;Norten Sound;;;;;X
PROV1881;Bristol Bay;Bristol Bay;Bristol Bay;Bahía de Bristol;Bristol-Bucht;Bristol Bay;;;;;X
PROV1882;Northwest Aleutian Trench;Northwest Aleutian Trench;Northwest Aleutian Trench;Fosa noroeste de las Aleutianas;Nordwestl. Aleutengraben;Northwest Aleutian Trench;;;;;X
PROV1883;New Hebrides Trench;New Hebrides Trench;New Hebrides Trench;Fosa de las Nuevas Hébridas;Neuhebridengraben;New Hebrides Trench;;;;;X
PROV1884;;;;;;;;;;;X
PROV1885;;;;;;;;;;;X
PROV1886;;;;;;;;;;;X
PROV1887;;;;;;;;;;;X
PROV1888;;;;;;;;;;;X
PROV1889;;;;;;;;;;;X
PROV1890;;;;;;;;;;;X
PROV1891;;;;;;;;;;;X
PROV1892;;;;;;;;;;;X
PROV1893;;;;;;;;;;;X
PROV1894;;;;;;;;;;;X
PROV1895;;;;;;;;;;;X
PROV1896;;;;;;;;;;;X
PROV1897;;;;;;;;;;;X
PROV1898;Nai Ga;Nai Ga;Nai Ga;Nai Ga;Nai Ga;Nai Ga;;;;;X
PROV1899;;;;;;;;;;;X
PROV1900;West Bering Strait;West Bering Strait;West Bering Strait;Estrecho de Bering occidental;Westl. Beringstraße;West Bering Strait;;;;;X
PROV1901;East Aleutian Basin;East Aleutian Basin;East Aleutian Basin;Cuenca oriental de las Aleutianas;Östl. Aleutenbecken;East Aleutian Basin;;;;;X
PROV1902;Southeast Aleutian Basin;Southeast Aleutian Basin;Southeast Aleutian Basin;Cuenca suroriental de las Aleutianas;Südöstl. Aleutenbecken;Southeast Aleutian Basin;;;;;X
PROV1903;Far West Aleutian Plateau;Far West Aleutian Plateau;Far West Aleutian Plateau;Extremo occidental de la meseta de las Aleutianas;Westl. Aleutenplateau;Far West Aleutian Plateau;;;;;X
PROV1904;West Aleutian Plateau;West Aleutian Plateau;West Aleutian Plateau;Oeste de la meseta de las Aleutianas;Westl. Aleutenplateau;West Aleutian Plateau;;;;;X
PROV1905;East Bering Strait;East Bering Strait;East Bering Strait;Estrecho de Bering oriental;Östl. Beringstraße;East Bering Strait;;;;;X
PROV1906;East Aleutian Plateau;East Aleutian Plateau;East Aleutian Plateau;Este de la meseta de las Aleutianas;Östl. Aleutenplateau;East Aleutian Plateau;;;;;X
PROV1907;Baku;Baku;Baku;Bakú;Baku;Baku;;;;;X
PROV1908;Cape Masoala;Cape Masoala;Cape Masoala;Cabo de Masoala;Kap Masoala;Cape Masoala;;;;;X
PROV1909;Rivière-du-Loup;Rivière-du-Loup;Rivière-du-Loup;Rivière-du-Loup;Rivière-du-Loup;Rivière-du-Loup;;;;;X
PROV1910;Valdés Peninsula;Valdés Peninsula;Valdés Peninsula;Península de Valdés;Halbinsel Valdés;Valdés Peninsula;;;;;X
PROV1911;Northeast Aleutian Trench;Northeast Aleutian Trench;Northeast Aleutian Trench;Fosa nororiental de las Aleutianas;Nordöstl. Aleutengraben;Northeast Aleutian Trench;;;;;X
PROV1912;Cook Inlet;Cook Inlet;Cook Inlet;Bahía de Cook;Cook Inlet;Cook Inlet;;;;;X
PROV1913;Cross Sound;Cross Sound;Cross Sound;Canal de Cross Sound;Crosssund;Cross Sound;;;;;X
PROV1914;Dixon Entrance;Dixon Entrance;Dixon Entrance;Estrecho de Dixon Entrance;Dixon-Straße;Dixon Entrance;;;;;X
PROV1915;Gilbert Seamount;Gilbert Seamount;Gilbert Seamount;Montes submarinos Gilbert;Gilbert-Tiefseeberg;Gilbert Seamount;;;;;X
PROV1916;North Aleutian Trench;North Aleutian Trench;North Aleutian Trench;Fosa norte de las Aleutianas;Nördl. Aleutengraben;North Aleutian Trench;;;;;X
PROV1917;Central Aleutian Trench;Central Aleutian Trench;Central Aleutian Trench;Fosa central de las Aleutianas;Mittl. Aleutengraben;Central Aleutian Trench;;;;;X
PROV1918;East Aleutian Trench;East Aleutian Trench;East Aleutian Trench;Fosa oriental de las Aleutianas;Östl. Aleutengraben;East Aleutian Trench;;;;;X
PROV1919;Tufts Plain;Tufts Plain;Tufts Plain;Llanura de Tufts;Tufts-Becken;Tufts Plain;;;;;X
PROV1920;Eickelburg Seamount;Eickelburg Seamount;Eickelburg Seamount;Monte submarino Eickelburg;Eickelberg-Tiefseeberg;Eickelburg Seamount;;;;;X
PROV1921;Queen Charlotte Sound;Queen Charlotte Sound;Queen Charlotte Sound;Estrecho de la Reina Carlota;Königin-Charlotte-Straße;Queen Charlotte Sound;;;;;X
PROV1922;Strait of Juan de Fuca;Strait of Juan de Fuca;Strait of Juan de Fuca;Estrecho de Juan de Fuca;Juan-de-Fuca-Straße;Strait of Juan de Fuca;;;;;X
PROV1923;Willapa Bay;Willapa Bay;Willapa Bay;Bahía de Willapa;Willapa-Bucht;Willapa Bay;;;;;X
PROV1924;Cornstock Seamount;Cornstock Seamount;Cornstock Seamount;Monte submarino Comstock;Cornstock-Tiefseeberg;Cornstock Seamount;;;;;X
PROV1925;Harris Seamount;Harris Seamount;Harris Seamount;Monte submarino Harris;Harris-Tiefseeberg;Harris Seamount;;;;;X
PROV1926;Chinook Trought;Chinook Trought;Chinook Trought;Depresión de Chinook;Chinook-Tiefe;Chinook Trought;;;;;X
PROV1927;West Hawaiian Rise;West Hawaiian Rise;West Hawaiian Rise;Farallón occidental de las Hawai;Westl. Hawaiirücken;West Hawaiian Rise;;;;;X
PROV1928;North Hawaiian Rise;North Hawaiian Rise;North Hawaiian Rise;Farallón septentrional de las Hawai;Nördl. Hawaiirücken;North Hawaiian Rise;;;;;X
PROV1929;North Central Hawaiian Rise;North Central Hawaiian Rise;North Central Hawaiian Rise;Farallón central-septentrional de las Hawai;Nördl. Mittl. Hawaiirücken;North Central Hawaiian Rise;;;;;X
PROV1930;West Murray Fracture Zone;West Murray Fracture Zone;West Murray Fracture Zone;Zona de fractura occidental de Murray;Westl. Murray-Bruchzone;West Murray Fracture Zone;;;;;X
PROV1931;Mendelssohn Seamount;Mendelssohn Seamount;Mendelssohn Seamount;Monte submarino Mendelssohn;Mendelssohn-Tiefseeberg;Mendelssohn Seamount;;;;;X
PROV1932;East Murray Fracture Zone;East Murray Fracture Zone;East Murray Fracture Zone;Zona de fractura oriental de Murray;Östl. Murray-Bruchzone;East Murray Fracture Zone;;;;;X
PROV1933;West Mendocino Fracture Zone;West Mendocino Fracture Zone;West Mendocino Fracture Zone;Zona de fractura occidental Mendocino;Westl. Mendocinostufe;West Mendocino Fracture Zone;;;;;X
PROV1934;East Menocino Fracture Zone;East Menocino Fracture Zone;East Menocino Fracture Zone;Zona de fractura oriental Mendocino;Östl. Mendocinostufe;East Menocino Fracture Zone;;;;;X
PROV1935;Patton Escarpment;Patton Escarpment;Patton Escarpment;Escarpaduras de Patton;Patton-Steilhang;Patton Escarpment;;;;;X
PROV1936;Cape Mendocino;Cape Mendocino;Cape Mendocino;Cabo de Mendocino;Kap Mendocino;Cape Mendocino;;;;;X
PROV1937;San Francisco Bay;San Francisco Bay;San Francisco Bay;Bahía de San Francisco;Bucht von San Francisco;San Francisco Bay;;;;;X
PROV1938;Santa Barbara Channel;Santa Barbara Channel;Santa Barbara Channel;Canal de Santa Bárbara;Santa-Barbara-Kanal;Santa Barbara Channel;;;;;X
PROV1939;Sebastian Vizcaino Bay;Sebastian Vizcaino Bay;Sebastian Vizcaino Bay;Bahía de Sebastián Vizcaíno;Sebastian-Vizcaino-Bucht;Sebastian Vizcaino Bay;;;;;X
PROV1940;Cedros Trench;Cedros Trench;Cedros Trench;Fosa de Cedros;Cedrosgraben;Cedros Trench;;;;;X
PROV1941;Magdelena Bay;Magdelena Bay;Magdelena Bay;Bahía Magdalena;Magdelena-Bucht;Magdelena Bay;;;;;X
PROV1942;East Molokai Fracture Zone;East Molokai Fracture Zone;East Molokai Fracture Zone;Zona de fractura oriental de Molokai;Östl. Molokai-Bruchzone;East Molokai Fracture Zone;;;;;X
PROV1943;West Molokai Fracture Zone;West Molokai Fracture Zone;West Molokai Fracture Zone;Zona de fractura occidental de Molokai;Westl. Molokai-Bruchzone;West Molokai Fracture Zone;;;;;X
PROV1944;French Frigate Shoals;French Frigate Shoals;French Frigate Shoals;Bajíos de la Fragata Francesa;French Frigate Shoals;French Frigate Shoals;;;;;X
PROV1945;South Central Hawaiian Rise;South Central Hawaiian Rise;South Central Hawaiian Rise;Farallón central-meridional de las Hawai;Südl. Mittl. Hawaiirücken;South Central Hawaiian Rise;;;;;X
PROV1946;Magellan Rise;Magellan Rise;Magellan Rise;Farallón de Magallanes;Zentralpazif. Becken;Magellan Rise;;;;;X
PROV1947;South Hawaiian Rise;South Hawaiian Rise;South Hawaiian Rise;Farallón meridional de las Hawai;Südl. Hawaiirücken;South Hawaiian Rise;;;;;X
PROV1948;West Magellan Rise;West Magellan Rise;West Magellan Rise;Farallón occidental de Magallanes;Westl. Zentralpazif. Becken;West Magellan Rise;;;;;X
PROV1949;East Magellan Rise;East Magellan Rise;East Magellan Rise;Farallón oriental de Magallanes;Östl. Zentralpazif. Becken;East Magellan Rise;;;;;X
PROV1950;South Magellan Rise;South Magellan Rise;South Magellan Rise;Farallón meridional de Magallanes;Südl. Zentralpazif. Becken;South Magellan Rise;;;;;X
PROV1951;Central Gilberts;Central Gilberts;Central Gilberts;Gilbert centrales;Mittl. Gilbertinseln;Central Gilberts;;;;;X
PROV1952;Gilberts-Phoenix Passage;Gilberts-Phoenix Passage;Gilberts-Phoenix Passage;Paso Gilbert-Phoenix;Gilbert-Phoenix-Inseln-Passage;Gilberts-Phoenix Passage;;;;;X
PROV1953;South Line Islands;South Line Islands;South Line Islands;Sur de las Kiribati;Südl. Line-Inseln;South Line Islands;;;;;X
PROV1954;Central Line Islands;Central Line Islands;Central Line Islands;Centro de las Kiribati;Mittl. Line-Inseln;Central Line Islands;;;;;X
PROV1955;North Line Islands;North Line Islands;North Line Islands;Norte de las Kiribati;Nördl. Line-Inseln;North Line Islands;;;;;X
PROV1956;West Clarion Fracture Zone;West Clarion Fracture Zone;West Clarion Fracture Zone;Zona de fractura occidental de Clarion;Westl. Clarion-Bruchzone;West Clarion Fracture Zone;;;;;X
PROV1957;Far West Clipperton Fracture Zone;Far West Clipperton Fracture Zone;Far West Clipperton Fracture Zone;Extremo occidental de la zona de fractura de Clipperton;Äuß. Westl. Clipperton-Bruchzone;Far West Clipperton Fracture Zone;;;;;X
PROV1958;West Clipperton Fracture Zone;West Clipperton Fracture Zone;West Clipperton Fracture Zone;Zona de fractura occidental de Clipperton;Westl. Clipperton-Bruchzone;West Clipperton Fracture Zone;;;;;X
PROV1959;East Clipperton Fracture Zone;East Clipperton Fracture Zone;East Clipperton Fracture Zone;Zona de fractura oriental de Clipperton;Östl. Clipperton-Bruchzone;East Clipperton Fracture Zone;;;;;X
PROV1960;Far East Clipperton Fracture Zone;Far East Clipperton Fracture Zone;Far East Clipperton Fracture Zone;Extremo oriental de la zona de fractura de Clipperton;Äuß. Östl. Clipperton-Bruchzone;Far East Clipperton Fracture Zone;;;;;X
PROV1961;South Guatamala Basin;South Guatamala Basin;South Guatamala Basin;Cuenca sur de Guatemala;Südl. Guatamalabecken;South Guatamala Basin;;;;;X
PROV1962;North Guatamala Basin;North Guatamala Basin;North Guatamala Basin;Cuenca norte de Guatemala;Nördl. Guatamalabecken;North Guatamala Basin;;;;;X
