#
# Reworked by Aregorn for HSR2_DD
#
##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);;;;;x
PROV1655;Buru;Buru;Buru;Buru;Buru;Buru;;;;;X
PROV1656;Ceram;Ceram;Ceram;Ceram;Ceram;Ceram;;;;;X
PROV1657;West Timor;West Timor;West Timor;West Timor;West Timor;West Timor;;;;;X
PROV1658;East Timor;East Timor;East Timor;East Timor;East Timor;East Timor;;;;;X
PROV1659;Sorong;Sorong;Sorong;Sorong;Sorong;Sorong;;;;;X
PROV1660;Babo;Babo;Babo;Babo;Babo;Babo;;;;;X
PROV1661;Biak Island;Biak Island;Biak Island;Biak Island;Biak Island;Biak Island;;;;;X
PROV1662;Kokonau;Kokonau;Kokonau;Kokonau;Kokonau;Kokonau;;;;;X
PROV1663;Arare;Arare;Arare;Arare;Arare;Arare;;;;;X
PROV1664;Sarmi;Sarmi;Sarmi;Sarmi;Sarmi;Sarmi;;;;;X
PROV1665;Hollandia;Hollandia;Hollandia;Hollandia;Hollandia;Hollandia;;;;;X
PROV1666;Aitape;Aitape;Aitape;Aitape;Aitape;Aitape;;;;;X
PROV1667;Wewak;Wewak;Wewak;Wewak;Wewak;Wewak;;;;;X
PROV1668;Admiralty Islands;Admiralty Islands;Admiralty Islands;Admiralty Islands;Admiralty Islands;Admiralty Islands;;;;;X
PROV1669;New Ireland;New Ireland;New Ireland;New Ireland;New Ireland;New Ireland;;;;;X
PROV1670;Rabaul;Rabaul;Rabaul;Rabaul;Rabaul;Rabaul;;;;;X
PROV1671;Gasmata;Gasmata;Gasmata;Gasmata;Gasmata;Gasmata;;;;;X
PROV1672;Lae;Lae;Lae;Lae;Lae;Lae;;;;;X
PROV1673;Agats;Agats;Agats;Agats;Agats;Agats;;;;;X
PROV1674;Merauke;Merauke;Merauke;Merauke;Merauke;Merauke;;;;;X
PROV1675;Kerema;Kerema;Kerema;Kerema;Kerema;Kerema;;;;;X
PROV1676;Bismarck Range;Bismarck Range;Bismarck Range;Bismarck Range;Bismarck Range;Bismarck Range;;;;;X
PROV1677;Buna;Buna;Buna;Buna;Buna;Buna;;;;;X
PROV1678;Owen Stanley Mountains;Owen Stanley Mountains;Owen Stanley Mountains;Owen Stanley Mountains;Owen Stanley Mountains;Owen Stanley Mountains;;;;;X
PROV1679;Port Moresby;Port Moresby;Port Moresby;Port Moresby;Port Moresby;Port Moresby;;;;;X
PROV1680;Milne Bay;Milne Bay;Milne Bay;Milne Bay;Milne Bay;Milne Bay;;;;;X
PROV1681;Buka Island;Buka Island;Buka Island;Buka Island;Buka Island;Buka Island;;;;;X
PROV1682;Bougainville;Bougainville;Bougainville;Bougainville;Bougainville;Bougainville;;;;;X
PROV1683;Shortland Island;Shortland Island;Shortland Island;Shortland Island;Shortland Island;Shortland Island;;;;;X
PROV1684;New Georgia;New Georgia;New Georgia;New Georgia;New Georgia;New Georgia;;;;;X
PROV1685;Guadalcanal;Guadalcanal;Guadalcanal;Guadalcanal;Guadalcanal;Guadalcanal;;;;;X
PROV1686;Santa Cruz Islands;Santa Cruz Islands;Santa Cruz Islands;Santa Cruz Islands;Santa Cruz Islands;Santa Cruz Islands;;;;;X
PROV1687;Mare;Mare;Mare;Mare;Mare;Mare;;;;;X
PROV1688;Bank Islands;Bank Islands;Bank Islands;Bank Islands;Bank Islands;Bank Islands;;;;;X
PROV1689;Espirtu Santo;Espirtu Santo;Espirtu Santo;Espirtu Santo;Espirtu Santo;Espirtu Santo;;;;;X
PROV1690;Efate;Efate;Efate;Efate;Efate;Efate;;;;;X
PROV1691;Lifou;Lifou;Lifou;Lifou;Lifou;Lifou;;;;;X
PROV1692;Noumea;Noumea;Noumea;Noumea;Noumea;Noumea;;;;;X
PROV1693;Cairns;Cairns;Cairns;Cairns;Cairns;Cairns;;;;;X
PROV1694;Weipa;Weipa;Weipa;Weipa;Weipa;Weipa;;;;;X
PROV1695;Normanton;Normanton;Normanton;Normanton;Normanton;Normanton;;;;;X
PROV1696;Townsville;Townsville;Townsville;Townsville;Townsville;Townsville;;;;;X
PROV1697;Hughenden;Hughenden;Hughenden;Hughenden;Hughenden;Hughenden;;;;;X
PROV1698;Rockhampton;Rockhampton;Rockhampton;Rockhampton;Rockhampton;Rockhampton;;;;;X
PROV1699;Blackall;Blackall;Blackall;Blackall;Blackall;Blackall;;;;;X
PROV1700;Mount Isa;Mount Isa;Mount Isa;Mount Isa;Mount Isa;Mount Isa;;;;;X
PROV1701;Borroloola;Borroloola;Borroloola;Borroloola;Borroloola;Borroloola;;;;;X
PROV1702;Nhulunbuy;Nhulunbuy;Nhulunbuy;Nhulunbuy;Nhulunbuy;Nhulunbuy;;;;;X
PROV1703;Darwin;Darwin;Darwin;Darwin;Darwin;Darwin;;;;;X
PROV1704;Katherine;Katherine;Katherine;Katherine;Katherine;Katherine;;;;;X
PROV1705;Barrow Creek;Barrow Creek;Barrow Creek;Barrow Creek;Barrow Creek;Barrow Creek;;;;;X
PROV1706;Wyndham;Wyndham;Wyndham;Wyndham;Wyndham;Wyndham;;;;;X
PROV1707;Wave Hill;Wave Hill;Wave Hill;Wave Hill;Wave Hill;Wave Hill;;;;;X
PROV1708;Broome;Broome;Broome;Broome;Broome;Broome;;;;;X
PROV1709;Goldsworthy;Goldsworthy;Goldsworthy;Goldsworthy;Goldsworthy;Goldsworthy;;;;;X
PROV1710;Carnarvon;Carnarvon;Carnarvon;Carnarvon;Carnarvon;Carnarvon;;;;;X
PROV1711;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;;;;;X
PROV1712;Perth;Perth;Perth;Perth;Perth;Perth;;;;;X
PROV1713;Esperance;Esperance;Esperance;Esperance;Esperance;Esperance;;;;;X
PROV1714;Laverton;Laverton;Laverton;Laverton;Laverton;Laverton;;;;;X
PROV1715;Gibson Desert;Gibson Desert;Gibson Desert;Gibson Desert;Gibson Desert;Gibson Desert;;;;;X
PROV1716;Penong;Penong;Penong;Penong;Penong;Penong;;;;;X
PROV1717;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;;;;;X
PROV1718;Port Augusta;Port Augusta;Port Augusta;Port Augusta;Port Augusta;Port Augusta;;;;;X
PROV1719;Birdsville;Birdsville;Birdsville;Birdsville;Birdsville;Birdsville;;;;;X
PROV1720;Quilpie;Quilpie;Quilpie;Quilpie;Quilpie;Quilpie;;;;;X
PROV1721;Mitchell;Mitchell;Mitchell;Mitchell;Mitchell;Mitchell;;;;;X
PROV1722;Brisbane;Brisbane;Brisbane;Brisbane;Brisbane;Brisbane;;;;;X
PROV1723;Coff's Harbour;Coff's Harbour;Coff's Harbour;Coff's Harbour;Coff's Harbour;Coff's Harbour;;;;;X
PROV1724;Newcastle;Newcastle;Newcastle;Newcastle;Newcastle;Newcastle;;;;;X
PROV1725;Wentworth;Wentworth;Wentworth;Wentworth;Wentworth;Wentworth;;;;;X
PROV1726;Cobar;Cobar;Cobar;Cobar;Cobar;Cobar;;;;;X
PROV1727;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;;;;;X
PROV1728;Canberra;Canberra;Canberra;Canberra;Canberra;Canberra;;;;;X
PROV1729;Tasmania;Tasmania;Tasmania;Tasmania;Tasmania;Tasmania;;;;;X
PROV1730;Melbourne;Melbourne;Melbourne;Melbourne;Melbourne;Melbourne;;;;;X
PROV1731;Hay;Hay;Hay;Hay;Hay;Hay;;;;;X
PROV1732;Mount Gambier;Mount Gambier;Mount Gambier;Mount Gambier;Mount Gambier;Mount Gambier;;;;;X
PROV1733;Adelaide;Adelaide;Adelaide;Adelaide;Adelaide;Adelaide;;;;;X
PROV1734;Broken Hill;Broken Hill;Broken Hill;Broken Hill;Broken Hill;Broken Hill;;;;;X
PROV1735;Palawan;Palawan;Palawan;Palawan;Palawan;Palawan;;;;;X
PROV1736;Mindoro;Mindoro;Mindoro;Mindoro;Mindoro;Mindoro;;;;;X
PROV1737;Manila;Manila;Manila;Manila;Manila;Manila;;;;;X
PROV1738;Bataan;Bataan;Bataan;Bataan;Bataan;Bataan;;;;;X
PROV1739;Clark Field;Clark Field;Clark Field;Clark Field;Clark Field;Clark Field;;;;;X
PROV1740;Lingayen Gulf;Lingayen Gulf;Lingayen Gulf;Lingayen Gulf;Lingayen Gulf;Lingayen Gulf;;;;;X
PROV1741;Aparri;Aparri;Aparri;Aparri;Aparri;Aparri;;;;;X
PROV1742;Lamon Bay;Lamon Bay;Lamon Bay;Lamon Bay;Lamon Bay;Lamon Bay;;;;;X
PROV1743;Legaspi;Legaspi;Legaspi;Legaspi;Legaspi;Legaspi;;;;;X
PROV1744;Samar;Samar;Samar;Samar;Samar;Samar;;;;;X
PROV1745;Leyte;Leyte;Leyte;Leyte;Leyte;Leyte;;;;;X
PROV1746;Panay;Panay;Panay;Panay;Panay;Panay;;;;;X
PROV1747;Negros;Negros;Negros;Negros;Negros;Negros;;;;;X
PROV1748;Zamboanga;Zamboanga;Zamboanga;Zamboanga;Zamboanga;Zamboanga;;;;;X
PROV1749;Cagayan;Cagayan;Cagayan;Cagayan;Cagayan;Cagayan;;;;;X
PROV1750;Davao;Davao;Davao;Davao;Davao;Davao;;;;;X
PROV1751;Tahiti;Tahiti;Tahiti;Tahiti;Tahiti;Tahiti;;;;;X
PROV1752;Fiji;Fiji;Fiji;Fiji;Fiji;Fiji;;;;;X
PROV1753;Vanua Levu;Vanua Levu;Vanua Levu;Vanua Levu;Vanua Levu;Vanua Levu;;;;;X
PROV1754;Lau Group;Lau Group;Lau Group;Lau Group;Lau Group;Lau Group;;;;;X
PROV1755;Taveuni;Taveuni;Taveuni;Taveuni;Taveuni;Taveuni;;;;;X
PROV1756;Samoa;Samoa;Samoa;Samoa;Samoa;Samoa;;;;;X
PROV1757;Tamana;Tamana;Tamana;Tamana;Tamana;Tamana;;;;;X
PROV1758;Arorae;Arorae;Arorae;Arorae;Arorae;Arorae;;;;;X
PROV1759;Tabiteuea;Tabiteuea;Tabiteuea;Tabiteuea;Tabiteuea;Tabiteuea;;;;;X
PROV1760;Nonouti;Nonouti;Nonouti;Nonouti;Nonouti;Nonouti;;;;;X
PROV1761;Apamama;Apamama;Apamama;Apamama;Apamama;Apamama;;;;;X
PROV1762;Phoenix Island;Phoenix Island;Phoenix Island;Phoenix Island;Phoenix Island;Phoenix Island;;;;;X
PROV1763;Christmas Island;Christmas Island;Christmas Island;Christmas Island;Christmas Island;Christmas Island;;;;;X
PROV1764;Jarvis Island;Jarvis Island;Jarvis Island;Jarvis Island;Jarvis Island;Jarvis Island;;;;;X
PROV1765;Palmyra;Palmyra;Palmyra;Palmyra;Palmyra;Palmyra;;;;;X
PROV1766;Johnson Island;Johnson Island;Johnson Island;Johnson Island;Johnson Island;Johnson Island;;;;;X
PROV1767;Makin;Makin;Makin;Makin;Makin;Makin;;;;;X
PROV1768;Abaiang;Abaiang;Abaiang;Abaiang;Abaiang;Abaiang;;;;;X
PROV1769;Tarawa;Tarawa;Tarawa;Tarawa;Tarawa;Tarawa;;;;;X
PROV1770;Maiana;Maiana;Maiana;Maiana;Maiana;Maiana;;;;;X
PROV1771;Mezen;Mezen;Mezen;Mezen;Mezen;Mezen;;;;;X
PROV1772;Ukhta;Ukhta;Ukhta;Ukhta;Ukhta;Ukhta;;;;;X
PROV1773;Syktyvkar;Syktyvkar;Syktyvkar;Syktyvkar;Syktyvkar;Syktyvkar;;;;;X
PROV1774;Kotelnich;Kotelnich;Kotelnich;Kotelnich;Kotelnich;Kotelnich;;;;;X
PROV1775;Yoskar Ola;Yoskar Ola;Yoskar Ola;Yoskar Ola;Yoskar Ola;Yoskar Ola;;;;;X
PROV1776;Cheboksary;Cheboksary;Cheboksary;Cheboksary;Cheboksary;Cheboksary;;;;;X
PROV1777;Saransk;Saransk;Saransk;Saransk;Saransk;Saransk;;;;;X
PROV1778;Ulyanovsk;Ulyanovsk;Ulyanovsk;Ulyanovsk;Ulyanovsk;Ulyanovsk;;;;;X
PROV1779;;;;;;;;;;;X
PROV1780;Kazan;Kazan;Kazan;Kazan;Kazan;Kazan;;;;;X
PROV1781;Melekess;Melekess;Melekess;Melekess;Melekess;Melekess;;;;;X
PROV1782;Izhevsk;Izhevsk;Izhevsk;Izhevsk;Izhevsk;Izhevsk;;;;;X
PROV1783;Kirov;Kirov;Kirov;Kirov;Kirov;Kirov;;;;;X
PROV1784;Bonin Islands;Bonin Islands;Bonin Islands;Bonin Islands;Bonin Islands;Bonin Islands;;;;;X
PROV1785;Marcus Island;Marcus Island;Marcus Island;Marcus Island;Marcus Island;Marcus Island;;;;;X
PROV1786;Wake Island;Wake Island;Wake Island;Wake Island;Wake Island;Wake Island;;;;;X
PROV1787;Rasht;Rasht;Rasht;Rasht;Rasht;Rasht;;;;;X
PROV1788;Hamadan;Hamadan;Hamadan;Hamadan;Hamadan;Hamadan;;;;;X
PROV1789;Bakhtaran;Bakhtaran;Bakhtaran;Bakhtaran;Bakhtaran;Bakhtaran;;;;;X
PROV1790;Hilla;Hilla;Hilla;Hilla;Hilla;Hilla;;;;;X
PROV1791;Karbala;Karbala;Karbala;Karbala;Karbala;Karbala;;;;;X
PROV1792;Damascus;Damascus;Damascus;Damascus;Damascus;Damascus;;;;;X
PROV1793;Tripoli;Tripoli;Tripoli;Tripoli;Tripoli;Tripoli;;;;;X
PROV1794;Beirut;Beirut;Beirut;Beirut;Beirut;Beirut;;;;;X
PROV1795;Golan;Golan;Golan;Golan;Golan;Golan;;;;;X
PROV1796;Amman;Amman;Amman;Amman;Amman;Amman;;;;;X
PROV1797;Jerusalem;Jerusalem;Jerusalem;Jerusalem;Jerusalem;Jerusalem;;;;;X
PROV1798;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;;;;;X
PROV1799;Gaza;Gaza;Gaza;Gaza;Gaza;Gaza;;;;;X
PROV1800;el-Arish;el-Arish;el-Arish;el-Arish;el-Arish;el-Arish;;;;;X
PROV1801;Sharm el-Sheikh;Sharm el-Sheikh;Sharm el-Sheikh;Sharm el-Sheikh;Sharm el-Sheikh;Sharm el-Sheikh;;;;;X
PROV1802;Akaba;Akaba;Akaba;Akaba;Akaba;Akaba;;;;;X
PROV1803;Bayir;Bayir;Bayir;Bayir;Bayir;Bayir;;;;;X
PROV1804;Medina;Medina;Medina;Medina;Medina;Medina;;;;;X
PROV1805;Jawf;Jawf;Jawf;Jawf;Jawf;Jawf;;;;;X
PROV1806;Najaf;Najaf;Najaf;Najaf;Najaf;Najaf;;;;;X
PROV1807;Riyadh;Riyadh;Riyadh;Riyadh;Riyadh;Riyadh;;;;;X
PROV1808;Jiddah;Jiddah;Jiddah;Jiddah;Jiddah;Jiddah;;;;;X
PROV1809;Abha;Abha;Abha;Abha;Abha;Abha;;;;;X
PROV1810;;;;;;;;;;;X
PROV1811;;;;;;;;;;;X
PROV1812;Sanaa;Sanaa;Sanaa;Sanaa;Sanaa;Sanaa;;;;;X
PROV1813;Aden;Aden;Aden;Aden;Aden;Aden;;;;;X
PROV1814;Mukalla;Mukalla;Mukalla;Mukalla;Mukalla;Mukalla;;;;;X
PROV1815;Socotra;Socotra;Socotra;Socotra;Socotra;Socotra;;;;;X
PROV1816;The Seychelles;The Seychelles;The Seychelles;The Seychelles;The Seychelles;The Seychelles;;;;;X
PROV1817;Diego Garcia Island;Diego Garcia Island;Diego Garcia Island;Diego Garcia Island;Diego Garcia Island;Diego Garcia Island;;;;;X
PROV1818;Rub al Khali;Rub al Khali;Rub al Khali;Rub al Khali;Rub al Khali;Rub al Khali;;;;;X
PROV1819;Mascate;Mascate;Mascate;Mascate;Mascate;Mascate;;;;;X
PROV1820;Doha;Doha;Doha;Doha;Doha;Doha;;;;;X
PROV1821;Dammam;Dammam;Dammam;Dammam;Dammam;Dammam;;;;;X
PROV1822;Kuweit City;Kuweit City;Kuweit City;Kuweit City;Kuweit City;Kuweit City;;;;;X
PROV1823;Basrah;Basrah;Basrah;Basrah;Basrah;Basrah;;;;;X
PROV1824;Nasiriyah;Nasiriyah;Nasiriyah;Nasiriyah;Nasiriyah;Nasiriyah;;;;;X
PROV1825;Abadan;Abadan;Abadan;Abadan;Abadan;Abadan;;;;;X
PROV1826;Esfahan;Esfahan;Esfahan;Esfahan;Esfahan;Esfahan;;;;;X
PROV1827;Naberezhnye Chelny;Naberezhnye Chelny;Naberezhnye Chelny;Naberezhnye Chelny;Naberezhnye Chelny;Naberezhnye Chelny;;;;;X
PROV1828;Kuybyshev;Kuybyshev;Kuybyshev;Kuybyshev;Kuybyshev;Kuybyshev;;;;;X
PROV1829;Engels;Engels;Engels;Engels;Engels;Engels;;;;;X
PROV1830;Syzran;Syzran;Syzran;Syzran;Syzran;Syzran;;;;;X
PROV1831;Nikolayevka;Nikolayevka;Nikolayevka;Nikolayevka;Nikolayevka;Nikolayevka;;;;;X
PROV1832;Saratov;Saratov;Saratov;Saratov;Saratov;Saratov;;;;;X
PROV1833;Enotaevka;Enotaevka;Enotaevka;Enotaevka;Enotaevka;Enotaevka;;;;;X
PROV1834;Krasnya Sloboda;Krasnya Sloboda;Krasnya Sloboda;Krasnya Sloboda;Krasnya Sloboda;Krasnya Sloboda;;;;;X
PROV1835;Nikolayevsk;Nikolayevsk;Nikolayevsk;Nikolayevsk;Nikolayevsk;Nikolayevsk;;;;;X
PROV1836;Elton;Elton;Elton;Elton;Elton;Elton;;;;;X
PROV1837;Elista;Elista;Elista;Elista;Elista;Elista;;;;;X
PROV1838;Astrakhan;Astrakhan;Astrakhan;Astrakhan;Astrakhan;Astrakhan;;;;;X
PROV1839;Novouzensk;Novouzensk;Novouzensk;Novouzensk;Novouzensk;Novouzensk;;;;;X
PROV1840;Kotlas;Kotlas;Kotlas;Kotlas;Kotlas;Kotlas;;;;;X
PROV1841;Velikij Ustyug;Velikij Ustyug;Velikij Ustyug;Velikij Ustyug;Velikij Ustyug;Velikij Ustyug;;;;;X
PROV1842;Bashanta;Bashanta;Bashanta;Bashanta;Bashanta;Bashanta;;;;;X
PROV1843;Armavil;Armavil;Armavil;Armavil;Armavil;Armavil;;;;;X
PROV1844;Maikop;Maikop;Maikop;Maikop;Maikop;Maikop;;;;;X
PROV1845;Tuapse;Tuapse;Tuapse;Tuapse;Tuapse;Tuapse;;;;;X
PROV1846;Voroshilovsk;Voroshilovsk;Voroshilovsk;Voroshilovsk;Voroshilovsk;Voroshilovsk;;;;;X
PROV1847;Grozny;Grozny;Grozny;Grozny;Grozny;Grozny;;;;;X
PROV1848;Batum;Batum;Batum;Batum;Batum;Batum;;;;;X
PROV1849;Nalchik;Nalchik;Nalchik;Nalchik;Nalchik;Nalchik;;;;;X
PROV1850;Tblisi;Tblisi;Tblisi;Tblisi;Tblisi;Tblisi;;;;;X
PROV1851;Kars;Kars;Kars;Kars;Kars;Kars;;;;;X
PROV1852;Erzurum;Erzurum;Erzurum;Erzurum;Erzurum;Erzurum;;;;;X
PROV1853;Elazig;Elazig;Elazig;Elazig;Elazig;Elazig;;;;;X
PROV1854;Batman;Batman;Batman;Batman;Batman;Batman;;;;;X
PROV1855;Van;Van;Van;Van;Van;Van;;;;;X
PROV1856;Yerevan;Yerevan;Yerevan;Yerevan;Yerevan;Yerevan;;;;;X
PROV1857;Makhachkala;Makhachkala;Makhachkala;Makhachkala;Makhachkala;Makhachkala;;;;;X
PROV1858;Kirovabad;Kirovabad;Kirovabad;Kirovabad;Kirovabad;Kirovabad;;;;;X
PROV1859;Tabriz;Tabriz;Tabriz;Tabriz;Tabriz;Tabriz;;;;;X
PROV1860;Kirkuk;Kirkuk;Kirkuk;Kirkuk;Kirkuk;Kirkuk;;;;;X
PROV1861;Dair az Zawr;Dair az Zawr;Dair az Zawr;Dair az Zawr;Dair az Zawr;Dair az Zawr;;;;;X
PROV1862;Aleppo;Aleppo;Aleppo;Aleppo;Aleppo;Aleppo;;;;;X
PROV1863;Hims;Hims;Hims;Hims;Hims;Hims;;;;;X
PROV1864;Mosul;Mosul;Mosul;Mosul;Mosul;Mosul;;;;;X
PROV1865;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;;;;;X
PROV1866;Baghdad;Baghdad;Baghdad;Baghdad;Baghdad;Baghdad;;;;;X
PROV1867;The Azores;The Azores;The Azores;The Azores;The Azores;The Azores;;;;;X
PROV1868;Auckland;Auckland;Auckland;Auckland;Auckland;Auckland;;;;;X
PROV1869;Napier;Napier;Napier;Napier;Napier;Napier;;;;;X
PROV1870;New Plymouth;New Plymouth;New Plymouth;New Plymouth;New Plymouth;New Plymouth;;;;;X
PROV1871;Wellington;Wellington;Wellington;Wellington;Wellington;Wellington;;;;;X
PROV1872;Christchurch;Christchurch;Christchurch;Christchurch;Christchurch;Christchurch;;;;;X
PROV1873;Dunedin;Dunedin;Dunedin;Dunedin;Dunedin;Dunedin;;;;;X
PROV1874;Polotsk;Polotsk;Polotsk;Polotsk;Polotsk;Polotsk;;;;;X
PROV1875;;;;;;;;;;;X
PROV1876;;;;;;;;;;;X
PROV1877;Fort Hertz;Fort Hertz;Fort Hertz;Fort Hertz;Fort Hertz;Fort Hertz;;;;;X
PROV1878;Ledo;Ledo;Ledo;Ledo;Ledo;Ledo;;;;;X
PROV1879;Far East Aleutian Plateau;Far East Aleutian Plateau;Far East Aleutian Plateau;Far East Aleutian Plateau;Far East Aleutian Plateau;Far East Aleutian Plateau;;;;;X
PROV1880;Norten Sound;Norten Sound;Norten Sound;Norten Sound;Norten Sound;Norten Sound;;;;;X
PROV1881;Bristol Bay;Bristol Bay;Bristol Bay;Bristol Bay;Bristol Bay;Bristol Bay;;;;;X
PROV1882;Northwest Aleutian Trench;Northwest Aleutian Trench;Northwest Aleutian Trench;Northwest Aleutian Trench;Northwest Aleutian Trench;Northwest Aleutian Trench;;;;;X
PROV1883;New Hebrides Trench;New Hebrides Trench;New Hebrides Trench;New Hebrides Trench;New Hebrides Trench;New Hebrides Trench;;;;;X
PROV1884;;;;;;;;;;;X
PROV1885;;;;;;;;;;;X
PROV1886;;;;;;;;;;;X
PROV1887;;;;;;;;;;;X
PROV1888;;;;;;;;;;;X
PROV1889;;;;;;;;;;;X
PROV1890;;;;;;;;;;;X
PROV1891;;;;;;;;;;;X
PROV1892;;;;;;;;;;;X
PROV1893;;;;;;;;;;;X
PROV1894;;;;;;;;;;;X
PROV1895;;;;;;;;;;;X
PROV1896;;;;;;;;;;;X
PROV1897;;;;;;;;;;;X
PROV1898;Nai Ga;Nai Ga;Nai Ga;Nai Ga;Nai Ga;Nai Ga;;;;;X
PROV1899;;;;;;;;;;;X
PROV1900;West Bering Strait;West Bering Strait;West Bering Strait;Estrecho de Bering occidental;West Bering Strait;West Bering Strait;;;;;X
PROV1901;East Aleutian Basin;East Aleutian Basin;East Aleutian Basin;Cuenca oriental de las Aleutianas;East Aleutian Basin;East Aleutian Basin;;;;;X
PROV1902;Southeast Aleutian Basin;Southeast Aleutian Basin;Southeast Aleutian Basin;Cuenca suroriental de las Aleutianas;Southeast Aleutian Basin;Southeast Aleutian Basin;;;;;X
PROV1903;Far West Aleutian Plateau;Far West Aleutian Plateau;Far West Aleutian Plateau;Extremo occidental de la meseta de las Aleutianas;Far West Aleutian Plateau;Far West Aleutian Plateau;;;;;X
PROV1904;West Aleutian Plateau;West Aleutian Plateau;West Aleutian Plateau;Oeste de la meseta de las Aleutianas;West Aleutian Plateau;West Aleutian Plateau;;;;;X
PROV1905;East Bering Strait;East Bering Strait;East Bering Strait;Estrecho de Bering oriental;East Bering Strait;East Bering Strait;;;;;X
PROV1906;East Aleutian Plateau;East Aleutian Plateau;East Aleutian Plateau;Este de la meseta de las Aleutianas;East Aleutian Plateau;East Aleutian Plateau;;;;;X
PROV1907;Baku;Baku;Baku;Bakú;Baku;Baku;;;;;X
PROV1908;Cape Masoala;Cape Masoala;Cape Masoala;Cabo de Masoala;Cape Masoala;Cape Masoala;;;;;X
PROV1909;Rivière-du-Loup;Rivière-du-Loup;Rivière-du-Loup;Rivière-du-Loup;Rivière-du-Loup;Rivière-du-Loup;;;;;X
PROV1910;Valdés Peninsula;Valdés Peninsula;Valdés Peninsula;Península de Valdés;Valdés Peninsula;Valdés Peninsula;;;;;X
PROV1911;Northeast Aleutian Trench;Northeast Aleutian Trench;Northeast Aleutian Trench;Fosa nororiental de las Aleutianas;Northeast Aleutian Trench;Northeast Aleutian Trench;;;;;X
PROV1912;Cook Inlet;Cook Inlet;Cook Inlet;Bahía de Cook;Cook Inlet;Cook Inlet;;;;;X
PROV1913;Cross Sound;Cross Sound;Cross Sound;Canal de Cross Sound;Cross Sound;Cross Sound;;;;;X
PROV1914;Dixon Entrance;Dixon Entrance;Dixon Entrance;Estrecho de Dixon Entrance;Dixon Entrance;Dixon Entrance;;;;;X
PROV1915;Gilbert Seamount;Gilbert Seamount;Gilbert Seamount;Montes submarinos Gilbert;Gilbert Seamount;Gilbert Seamount;;;;;X
PROV1916;North Aleutian Trench;North Aleutian Trench;North Aleutian Trench;Fosa norte de las Aleutianas;North Aleutian Trench;North Aleutian Trench;;;;;X
PROV1917;Central Aleutian Trench;Central Aleutian Trench;Central Aleutian Trench;Fosa central de las Aleutianas;Central Aleutian Trench;Central Aleutian Trench;;;;;X
PROV1918;East Aleutian Trench;East Aleutian Trench;East Aleutian Trench;Fosa oriental de las Aleutianas;East Aleutian Trench;East Aleutian Trench;;;;;X
PROV1919;Tufts Plain;Tufts Plain;Tufts Plain;Llanura de Tufts;Tufts Plain;Tufts Plain;;;;;X
PROV1920;Eickelburg Seamount;Eickelburg Seamount;Eickelburg Seamount;Monte submarino Eickelburg;Eickelburg Seamount;Eickelburg Seamount;;;;;X
PROV1921;Queen Charlotte Sound;Queen Charlotte Sound;Queen Charlotte Sound;Estrecho de la Reina Carlota;Queen Charlotte Sound;Queen Charlotte Sound;;;;;X
PROV1922;Strait of Juan de Fuca;Strait of Juan de Fuca;Strait of Juan de Fuca;Estrecho de Juan de Fuca;Strait of Juan de Fuca;Strait of Juan de Fuca;;;;;X
PROV1923;Willapa Bay;Willapa Bay;Willapa Bay;Bahía de Willapa;Willapa Bay;Willapa Bay;;;;;X
PROV1924;Cornstock Seamount;Cornstock Seamount;Cornstock Seamount;Monte submarino Comstock;Cornstock Seamount;Cornstock Seamount;;;;;X
PROV1925;Harris Seamount;Harris Seamount;Harris Seamount;Monte submarino Harris;Harris Seamount;Harris Seamount;;;;;X
PROV1926;Chinook Trought;Chinook Trought;Chinook Trought;Depresión de Chinook;Chinook Trought;Chinook Trought;;;;;X
PROV1927;West Hawaiian Rise;West Hawaiian Rise;West Hawaiian Rise;Farallón occidental de las Hawai;West Hawaiian Rise;West Hawaiian Rise;;;;;X
PROV1928;North Hawaiian Rise;North Hawaiian Rise;North Hawaiian Rise;Farallón septentrional de las Hawai;North Hawaiian Rise;North Hawaiian Rise;;;;;X
PROV1929;North Central Hawaiian Rise;North Central Hawaiian Rise;North Central Hawaiian Rise;Farallón central-septentrional de las Hawai;North Central Hawaiian Rise;North Central Hawaiian Rise;;;;;X
PROV1930;West Murray Fracture Zone;West Murray Fracture Zone;West Murray Fracture Zone;Zona de fractura occidental de Murray;West Murray Fracture Zone;West Murray Fracture Zone;;;;;X
PROV1931;Mendelssohn Seamount;Mendelssohn Seamount;Mendelssohn Seamount;Monte submarino Mendelssohn;Mendelssohn Seamount;Mendelssohn Seamount;;;;;X
PROV1932;East Murray Fracture Zone;East Murray Fracture Zone;East Murray Fracture Zone;Zona de fractura oriental de Murray;East Murray Fracture Zone;East Murray Fracture Zone;;;;;X
